video_id,url,title,views,likes,comments,shares,reposts,duration,uploaded,theme
sample0029,https://www.tiktok.com/@example_creator/video/sample0029,Day 30 of building this in public,3599,276,35,13,0,18,2025-08-07T08:27:00,Public / Building / Smallbusiness
sample0030,https://www.tiktok.com/@example_creator/video/sample0030,Replying to a comment about software,751,54,6,9,0,68,2025-08-09T17:37:00,Replying / Pricing / Clients
sample0031,https://www.tiktok.com/@example_creator/video/sample0031,"Limited spots left, DM me",1671,197,19,18,0,95,2025-08-12T21:55:00,Spots / Limited / Left
sample0032,https://www.tiktok.com/@example_creator/video/sample0032,Stop doing this with your framing,3337,425,23,28,0,95,2025-08-14T18:00:00,Understood / Properly / Jargon
sample0033,https://www.tiktok.com/@example_creator/video/sample0033,Day 90 of building this in public #howto,2359,298,26,14,0,52,2025-08-16T08:59:00,Public / Building / Smallbusiness
sample0034,https://www.tiktok.com/@example_creator/video/sample0034,"You asked, so here it is: clients",5464,411,21,69,0,27,2025-08-19T21:59:00,Asked / Gear / Clients
sample0035,https://www.tiktok.com/@example_creator/video/sample0035,Last chance on this one #howto,1207,94,9,3,0,95,2025-08-21T11:00:00,Chance / Howto
sample0036,https://www.tiktok.com/@example_creator/video/sample0036,3 ways to fix your editing in under a minute #howto,8731,866,64,152,0,68,2025-08-24T19:33:00,Looked / Howto
sample0037,https://www.tiktok.com/@example_creator/video/sample0037,What 100 months of this actually looked like #tutorial,4264,465,43,77,0,34,2025-08-26T18:37:00,Looked / Howto
sample0038,https://www.tiktok.com/@example_creator/video/sample0038,Replying to a comment about pricing #howto,678,57,7,7,0,18,2025-08-28T08:08:00,Replying / Pricing / Clients
sample0039,https://www.tiktok.com/@example_creator/video/sample0039,Last chance on this one,207,16,2,1,0,68,2025-08-31T21:01:00,No caption
sample0040,https://www.tiktok.com/@example_creator/video/sample0040,How I finally understood lighting,16602,1469,64,52,0,18,2025-09-02T17:06:00,Understood / Properly / Jargon
sample0041,https://www.tiktok.com/@example_creator/video/sample0041,What 60 months of this actually looked like,1728,131,11,18,0,41,2025-09-04T08:37:00,No caption
sample0042,https://www.tiktok.com/@example_creator/video/sample0042,Answering your questions about clients #creator,779,85,4,3,0,18,2025-09-07T21:12:00,Questions / Answering / Workflow
sample0043,https://www.tiktok.com/@example_creator/video/sample0043,"New drop out now, link in bio",3655,238,28,27,0,27,2025-09-09T13:57:00,Out / Drop / Tutorial
sample0044,https://www.tiktok.com/@example_creator/video/sample0044,How I finally understood lighting,9955,1107,60,146,0,14,2025-09-12T17:08:00,Understood / Properly / Jargon
sample0045,https://www.tiktok.com/@example_creator/video/sample0045,My honest numbers after 60 weeks,1233,123,5,23,0,27,2025-09-14T08:56:00,Numbers / Honest / Smallbusiness
sample0046,https://www.tiktok.com/@example_creator/video/sample0046,"You asked, so here it is: software",3694,409,43,5,0,95,2025-09-16T18:04:00,Asked / Gear / Clients
sample0047,https://www.tiktok.com/@example_creator/video/sample0047,"New drop out now, link in bio #behindthescenes",2457,124,11,15,0,34,2025-09-19T18:03:00,Out / Drop / Tutorial
sample0048,https://www.tiktok.com/@example_creator/video/sample0048,"editing explained properly, no jargon",2360,221,20,45,0,41,2025-09-21T18:36:00,Understood / Properly / Jargon
sample0049,https://www.tiktok.com/@example_creator/video/sample0049,What 90 months of this actually looked like,2193,119,25,19,0,68,2025-09-24T11:54:00,No caption
sample0050,https://www.tiktok.com/@example_creator/video/sample0050,"You asked, so here it is: clients #smallbusiness",4796,250,46,58,0,18,2025-09-26T17:41:00,Asked / Gear / Clients
sample0051,https://www.tiktok.com/@example_creator/video/sample0051,Grab this before it goes #smallbusiness,2369,208,27,13,0,68,2025-09-28T19:25:00,Grab / Smallbusiness / Creator
sample0052,https://www.tiktok.com/@example_creator/video/sample0052,3 ways to fix your lighting in under a minute,3553,355,23,17,0,9,2025-10-01T21:15:00,Understood / Properly / Jargon
sample0053,https://www.tiktok.com/@example_creator/video/sample0053,My honest numbers after 100 weeks #smallbusiness,3530,250,27,31,0,68,2025-10-03T17:08:00,Numbers / Honest / Smallbusiness
sample0054,https://www.tiktok.com/@example_creator/video/sample0054,Answering your questions about pricing #creator,1067,125,5,13,0,95,2025-10-06T18:57:00,Questions / Answering / Workflow
sample0055,https://www.tiktok.com/@example_creator/video/sample0055,Last chance on this one,856,56,7,11,0,9,2025-10-08T11:15:00,No caption
sample0056,https://www.tiktok.com/@example_creator/video/sample0056,How I finally understood framing #creator,3229,183,28,37,0,34,2025-10-10T08:14:00,Understood / Properly / Jargon
sample0057,https://www.tiktok.com/@example_creator/video/sample0057,Before and after 90 days #smallbusiness,20756,1161,66,339,0,95,2025-10-13T13:31:00,No caption
sample0058,https://www.tiktok.com/@example_creator/video/sample0058,Answering your questions about software,1040,121,8,6,0,18,2025-10-15T17:51:00,Questions / Answering / Workflow
sample0059,https://www.tiktok.com/@example_creator/video/sample0059,Grab this before it goes,488,41,3,8,0,52,2025-10-17T17:56:00,No caption
sample0060,https://www.tiktok.com/@example_creator/video/sample0060,How I finally understood setup #tutorial,1079,113,5,4,0,34,2025-10-20T08:44:00,Understood / Properly / Jargon
sample0061,https://www.tiktok.com/@example_creator/video/sample0061,My honest numbers after 60 weeks,1856,226,16,11,0,68,2025-10-22T13:45:00,Numbers / Honest / Smallbusiness
sample0062,https://www.tiktok.com/@example_creator/video/sample0062,"You asked, so here it is: clients #tutorial",1395,110,8,11,0,23,2025-10-25T11:05:00,Asked / Gear / Clients
sample0063,https://www.tiktok.com/@example_creator/video/sample0063,"Limited spots left, DM me",966,106,10,6,0,9,2025-10-27T21:37:00,Spots / Limited / Left
sample0064,https://www.tiktok.com/@example_creator/video/sample0064,The setup mistake almost everyone makes,4254,241,11,63,0,34,2025-10-29T18:18:00,Understood / Properly / Jargon
sample0065,https://www.tiktok.com/@example_creator/video/sample0065,Day 7 of building this in public,6434,448,27,99,0,68,2025-11-01T11:06:00,Public / Building / Smallbusiness
sample0066,https://www.tiktok.com/@example_creator/video/sample0066,"You asked, so here it is: software #smallbusiness",1897,204,17,34,0,41,2025-11-03T19:08:00,Asked / Gear / Clients
sample0067,https://www.tiktok.com/@example_creator/video/sample0067,"Limited spots left, DM me",1341,143,13,12,0,41,2025-11-06T21:05:00,Spots / Limited / Left
sample0068,https://www.tiktok.com/@example_creator/video/sample0068,The lighting mistake almost everyone makes,1692,142,8,32,0,9,2025-11-08T17:43:00,Understood / Properly / Jargon
sample0069,https://www.tiktok.com/@example_creator/video/sample0069,Before and after 60 days,602,68,3,2,0,34,2025-11-10T13:41:00,No caption
sample0070,https://www.tiktok.com/@example_creator/video/sample0070,Answering your questions about pricing,1998,242,12,36,0,27,2025-11-13T17:38:00,Questions / Answering / Workflow
sample0071,https://www.tiktok.com/@example_creator/video/sample0071,Grab this before it goes,1363,162,8,6,0,18,2025-11-15T17:58:00,No caption
sample0072,https://www.tiktok.com/@example_creator/video/sample0072,Stop doing this with your editing,4245,215,28,34,0,23,2025-11-18T21:03:00,Understood / Properly / Jargon
sample0073,https://www.tiktok.com/@example_creator/video/sample0073,Before and after 100 days,3754,460,37,13,0,95,2025-11-20T17:10:00,No caption
sample0074,https://www.tiktok.com/@example_creator/video/sample0074,"You asked, so here it is: workflow #tutorial",856,91,2,8,0,52,2025-11-22T21:11:00,Asked / Gear / Clients
sample0075,https://www.tiktok.com/@example_creator/video/sample0075,"New drop out now, link in bio",217,24,1,0,0,41,2025-11-25T18:19:00,Out / Drop / Tutorial
sample0076,https://www.tiktok.com/@example_creator/video/sample0076,"lighting explained properly, no jargon",2351,175,15,34,0,34,2025-11-27T13:20:00,Understood / Properly / Jargon
sample0077,https://www.tiktok.com/@example_creator/video/sample0077,Day 30 of building this in public #behindthescenes,12637,755,81,220,0,52,2025-11-29T19:29:00,Public / Building / Smallbusiness
sample0078,https://www.tiktok.com/@example_creator/video/sample0078,Answering your questions about workflow #creator,3451,342,16,28,0,68,2025-12-02T21:54:00,Questions / Answering / Workflow
sample0079,https://www.tiktok.com/@example_creator/video/sample0079,"Limited spots left, DM me",427,34,1,2,0,27,2025-12-04T18:42:00,Spots / Limited / Left
sample0080,https://www.tiktok.com/@example_creator/video/sample0080,"audio explained properly, no jargon",689,41,5,3,0,23,2025-12-07T17:05:00,Understood / Properly / Jargon
sample0081,https://www.tiktok.com/@example_creator/video/sample0081,Before and after 7 days,1110,69,3,9,0,14,2025-12-09T18:45:00,No caption
sample0082,https://www.tiktok.com/@example_creator/video/sample0082,"You asked, so here it is: workflow #howto",4305,329,26,5,0,41,2025-12-11T21:09:00,Asked / Gear / Clients
sample0083,https://www.tiktok.com/@example_creator/video/sample0083,"Limited spots left, DM me",317,24,2,0,0,41,2025-12-14T18:33:00,Spots / Limited / Left
sample0084,https://www.tiktok.com/@example_creator/video/sample0084,The audio mistake almost everyone makes,3915,435,43,44,0,34,2025-12-16T21:06:00,Understood / Properly / Jargon
sample0085,https://www.tiktok.com/@example_creator/video/sample0085,What 100 months of this actually looked like,2684,275,26,9,0,52,2025-12-19T18:45:00,No caption
sample0086,https://www.tiktok.com/@example_creator/video/sample0086,Replying to a comment about clients #smallbusiness,5618,608,24,66,0,68,2025-12-21T13:29:00,Replying / Pricing / Clients
sample0087,https://www.tiktok.com/@example_creator/video/sample0087,"New drop out now, link in bio",689,85,1,9,0,34,2025-12-23T11:58:00,Out / Drop / Tutorial
sample0088,https://www.tiktok.com/@example_creator/video/sample0088,The audio mistake almost everyone makes,3513,184,13,69,0,18,2025-12-26T11:38:00,Understood / Properly / Jargon
sample0089,https://www.tiktok.com/@example_creator/video/sample0089,My honest numbers after 90 weeks,3864,320,9,42,0,14,2025-12-28T19:51:00,Numbers / Honest / Smallbusiness
sample0090,https://www.tiktok.com/@example_creator/video/sample0090,Replying to a comment about pricing #howto,2372,240,5,32,0,18,2025-12-31T13:15:00,Replying / Pricing / Clients
sample0091,https://www.tiktok.com/@example_creator/video/sample0091,Grab this before it goes,654,68,6,9,0,52,2026-01-02T17:22:00,No caption
sample0092,https://www.tiktok.com/@example_creator/video/sample0092,Stop doing this with your framing #creator,3504,428,18,7,0,95,2026-01-04T18:21:00,Understood / Properly / Jargon
sample0093,https://www.tiktok.com/@example_creator/video/sample0093,Before and after 90 days,1226,68,3,11,0,68,2026-01-07T21:50:00,No caption
sample0094,https://www.tiktok.com/@example_creator/video/sample0094,"You asked, so here it is: software",1192,97,5,2,0,34,2026-01-09T18:58:00,Asked / Gear / Clients
sample0095,https://www.tiktok.com/@example_creator/video/sample0095,Grab this before it goes,2134,260,6,34,0,14,2026-01-11T11:41:00,No caption
sample0096,https://www.tiktok.com/@example_creator/video/sample0096,"framing explained properly, no jargon #howto",2833,261,9,40,0,23,2026-01-14T19:19:00,Understood / Properly / Jargon
sample0097,https://www.tiktok.com/@example_creator/video/sample0097,Day 60 of building this in public #smallbusiness,2406,308,16,11,0,27,2026-01-16T13:20:00,Public / Building / Smallbusiness
sample0098,https://www.tiktok.com/@example_creator/video/sample0098,Replying to a comment about pricing #smallbusiness,2642,318,6,7,0,34,2026-01-19T17:01:00,Replying / Pricing / Clients
sample0099,https://www.tiktok.com/@example_creator/video/sample0099,"Limited spots left, DM me",860,58,4,12,0,23,2026-01-21T11:21:00,Spots / Limited / Left
sample0100,https://www.tiktok.com/@example_creator/video/sample0100,How I finally understood lighting,620,57,1,6,0,27,2026-01-23T13:50:00,Understood / Properly / Jargon
sample0101,https://www.tiktok.com/@example_creator/video/sample0101,What 30 months of this actually looked like #creator,2090,193,5,25,0,27,2026-01-26T17:04:00,Looked / Howto
sample0102,https://www.tiktok.com/@example_creator/video/sample0102,Replying to a comment about software,582,40,2,6,0,18,2026-01-28T08:10:00,Replying / Pricing / Clients
sample0103,https://www.tiktok.com/@example_creator/video/sample0103,Last chance on this one,87,7,0,1,0,34,2026-01-31T21:37:00,No caption
sample0104,https://www.tiktok.com/@example_creator/video/sample0104,How I finally understood setup,16629,1523,191,71,0,18,2026-02-02T18:52:00,Understood / Properly / Jargon
sample0105,https://www.tiktok.com/@example_creator/video/sample0105,Day 100 of building this in public,2785,298,25,16,0,68,2026-02-04T19:28:00,Public / Building / Smallbusiness
sample0106,https://www.tiktok.com/@example_creator/video/sample0106,Answering your questions about workflow,3473,332,37,15,0,18,2026-02-07T08:12:00,Questions / Answering / Workflow
sample0107,https://www.tiktok.com/@example_creator/video/sample0107,"New drop out now, link in bio",850,96,2,15,0,95,2026-02-09T17:32:00,Out / Drop / Tutorial
sample0108,https://www.tiktok.com/@example_creator/video/sample0108,"lighting explained properly, no jargon",2379,274,22,37,0,95,2026-02-12T08:19:00,Understood / Properly / Jargon
sample0109,https://www.tiktok.com/@example_creator/video/sample0109,Before and after 7 days,2022,181,17,24,0,52,2026-02-14T18:10:00,No caption
sample0110,https://www.tiktok.com/@example_creator/video/sample0110,Answering your questions about software,2531,277,18,49,0,9,2026-02-16T19:13:00,Questions / Answering / Workflow
sample0111,https://www.tiktok.com/@example_creator/video/sample0111,Last chance on this one,771,64,2,1,0,95,2026-02-19T11:05:00,No caption
sample0112,https://www.tiktok.com/@example_creator/video/sample0112,The audio mistake almost everyone makes #howto,1571,117,18,29,0,23,2026-02-21T17:29:00,Looked / Howto
sample0113,https://www.tiktok.com/@example_creator/video/sample0113,Day 30 of building this in public,5742,706,62,106,0,18,2026-02-23T19:03:00,Public / Building / Smallbusiness
sample0114,https://www.tiktok.com/@example_creator/video/sample0114,"You asked, so here it is: pricing #creator",1640,154,5,7,0,23,2026-02-26T11:26:00,Asked / Gear / Clients
sample0115,https://www.tiktok.com/@example_creator/video/sample0115,Grab this before it goes,6517,432,37,15,0,27,2026-02-28T17:40:00,No caption
sample0116,https://www.tiktok.com/@example_creator/video/sample0116,How I finally understood editing #howto,3605,367,15,10,0,9,2026-03-03T19:16:00,Understood / Properly / Jargon
sample0117,https://www.tiktok.com/@example_creator/video/sample0117,What 60 months of this actually looked like #howto,1706,96,18,12,0,68,2026-03-05T19:53:00,Looked / Howto
sample0118,https://www.tiktok.com/@example_creator/video/sample0118,Replying to a comment about clients #howto,851,51,3,7,0,52,2026-03-07T17:02:00,Replying / Pricing / Clients
sample0119,https://www.tiktok.com/@example_creator/video/sample0119,Last chance on this one,2622,161,10,16,0,52,2026-03-10T13:20:00,No caption
sample0120,https://www.tiktok.com/@example_creator/video/sample0120,Stop doing this with your framing,1390,137,4,23,0,52,2026-03-12T13:14:00,Understood / Properly / Jargon
sample0121,https://www.tiktok.com/@example_creator/video/sample0121,Day 60 of building this in public,8406,657,27,132,0,34,2026-03-15T08:58:00,Public / Building / Smallbusiness
sample0122,https://www.tiktok.com/@example_creator/video/sample0122,Answering your questions about gear,2146,267,10,30,0,23,2026-03-17T08:25:00,Questions / Answering / Workflow
sample0123,https://www.tiktok.com/@example_creator/video/sample0123,Last chance on this one #howto,1883,206,20,30,0,52,2026-03-19T13:42:00,Chance / Howto
sample0124,https://www.tiktok.com/@example_creator/video/sample0124,"editing explained properly, no jargon #creator",2849,234,7,29,0,95,2026-03-22T17:07:00,Understood / Properly / Jargon
sample0125,https://www.tiktok.com/@example_creator/video/sample0125,My honest numbers after 90 weeks,912,110,6,5,0,18,2026-03-24T13:04:00,Numbers / Honest / Smallbusiness
sample0126,https://www.tiktok.com/@example_creator/video/sample0126,Replying to a comment about software,15181,1695,125,194,0,41,2026-03-27T13:01:00,Replying / Pricing / Clients
sample0127,https://www.tiktok.com/@example_creator/video/sample0127,Grab this before it goes #behindthescenes,3008,343,26,18,0,52,2026-03-29T17:24:00,Grab / Smallbusiness / Creator
sample0128,https://www.tiktok.com/@example_creator/video/sample0128,How I finally understood setup #howto,2257,206,25,44,0,9,2026-03-31T13:14:00,Understood / Properly / Jargon
sample0129,https://www.tiktok.com/@example_creator/video/sample0129,What 100 months of this actually looked like,3214,304,33,62,0,34,2026-04-03T19:48:00,No caption
sample0130,https://www.tiktok.com/@example_creator/video/sample0130,"You asked, so here it is: gear",6260,656,72,104,0,18,2026-04-05T13:51:00,Asked / Gear / Clients
sample0131,https://www.tiktok.com/@example_creator/video/sample0131,"Limited spots left, DM me",600,47,5,6,0,23,2026-04-07T21:36:00,Spots / Limited / Left
sample0132,https://www.tiktok.com/@example_creator/video/sample0132,How I finally understood lighting,572,52,5,1,0,95,2026-04-10T19:08:00,Understood / Properly / Jargon
sample0133,https://www.tiktok.com/@example_creator/video/sample0133,Before and after 90 days #smallbusiness,8410,590,70,67,0,34,2026-04-12T17:32:00,No caption
sample0134,https://www.tiktok.com/@example_creator/video/sample0134,Answering your questions about pricing,2660,283,21,44,0,18,2026-04-15T21:08:00,Questions / Answering / Workflow
sample0135,https://www.tiktok.com/@example_creator/video/sample0135,Last chance on this one #smallbusiness,8382,1069,27,117,0,41,2026-04-17T11:41:00,Chance / Howto
sample0136,https://www.tiktok.com/@example_creator/video/sample0136,How I finally understood framing,7052,553,52,114,0,41,2026-04-19T11:03:00,Understood / Properly / Jargon
sample0137,https://www.tiktok.com/@example_creator/video/sample0137,My honest numbers after 7 weeks,1365,139,5,20,0,41,2026-04-22T21:30:00,Numbers / Honest / Smallbusiness
sample0138,https://www.tiktok.com/@example_creator/video/sample0138,Answering your questions about software,210,17,2,2,0,27,2026-04-24T11:34:00,Questions / Answering / Workflow
sample0139,https://www.tiktok.com/@example_creator/video/sample0139,Grab this before it goes #smallbusiness,1141,114,5,6,0,52,2026-04-27T08:17:00,Grab / Smallbusiness / Creator
sample0140,https://www.tiktok.com/@example_creator/video/sample0140,The editing mistake almost everyone makes #creator,2754,311,32,24,0,9,2026-04-29T11:04:00,Grab / Smallbusiness / Creator
sample0141,https://www.tiktok.com/@example_creator/video/sample0141,Before and after 60 days,650,66,5,4,0,27,2026-05-01T17:35:00,No caption
sample0142,https://www.tiktok.com/@example_creator/video/sample0142,Answering your questions about workflow,1318,73,7,20,0,27,2026-05-04T19:03:00,Questions / Answering / Workflow
sample0143,https://www.tiktok.com/@example_creator/video/sample0143,"New drop out now, link in bio",1268,143,11,10,0,68,2026-05-06T11:04:00,Out / Drop / Tutorial
sample0144,https://www.tiktok.com/@example_creator/video/sample0144,3 ways to fix your framing in under a minute,17201,873,58,122,0,34,2026-05-09T17:16:00,Understood / Properly / Jargon
sample0145,https://www.tiktok.com/@example_creator/video/sample0145,My honest numbers after 60 weeks,2053,209,16,12,0,23,2026-05-11T17:22:00,Numbers / Honest / Smallbusiness
sample0146,https://www.tiktok.com/@example_creator/video/sample0146,Replying to a comment about pricing #howto,3164,184,10,24,0,41,2026-05-13T18:19:00,Replying / Pricing / Clients
sample0147,https://www.tiktok.com/@example_creator/video/sample0147,"New drop out now, link in bio #creator",590,74,2,10,0,34,2026-05-16T17:06:00,Out / Drop / Tutorial
sample0148,https://www.tiktok.com/@example_creator/video/sample0148,3 ways to fix your setup in under a minute,1959,176,19,35,0,27,2026-05-18T13:27:00,Understood / Properly / Jargon
sample0149,https://www.tiktok.com/@example_creator/video/sample0149,Day 90 of building this in public,1353,174,4,17,0,41,2026-05-20T13:56:00,Public / Building / Smallbusiness
sample0150,https://www.tiktok.com/@example_creator/video/sample0150,Replying to a comment about pricing,1701,142,19,31,0,14,2026-05-23T13:56:00,Replying / Pricing / Clients
sample0151,https://www.tiktok.com/@example_creator/video/sample0151,Grab this before it goes,839,82,6,9,0,9,2026-05-25T17:53:00,No caption
sample0152,https://www.tiktok.com/@example_creator/video/sample0152,"framing explained properly, no jargon #creator",6169,672,73,53,0,18,2026-05-28T18:03:00,Understood / Properly / Jargon
sample0153,https://www.tiktok.com/@example_creator/video/sample0153,Before and after 7 days #howto,6803,880,18,119,0,34,2026-05-30T21:07:00,No caption
sample0154,https://www.tiktok.com/@example_creator/video/sample0154,"You asked, so here it is: clients",4532,327,38,10,0,68,2026-06-01T18:00:00,Asked / Gear / Clients
sample0155,https://www.tiktok.com/@example_creator/video/sample0155,Grab this before it goes,1047,125,12,2,0,18,2026-06-04T08:51:00,No caption
sample0156,https://www.tiktok.com/@example_creator/video/sample0156,How I finally understood setup #smallbusiness,6513,420,38,111,0,95,2026-06-06T21:14:00,Understood / Properly / Jargon
sample0157,https://www.tiktok.com/@example_creator/video/sample0157,Before and after 90 days #howto,8988,1036,80,153,0,27,2026-06-09T18:40:00,No caption
sample0158,https://www.tiktok.com/@example_creator/video/sample0158,Replying to a comment about pricing,400,34,1,1,0,34,2026-06-11T11:49:00,Replying / Pricing / Clients
sample0159,https://www.tiktok.com/@example_creator/video/sample0159,"Limited spots left, DM me #creator",1818,136,11,6,0,27,2026-06-13T19:13:00,Spots / Limited / Left
sample0160,https://www.tiktok.com/@example_creator/video/sample0160,Stop doing this with your editing,4446,345,40,24,0,95,2026-06-16T17:08:00,Understood / Properly / Jargon
sample0161,https://www.tiktok.com/@example_creator/video/sample0161,Day 60 of building this in public #smallbusiness,4557,568,26,68,0,95,2026-06-18T21:05:00,Public / Building / Smallbusiness
sample0162,https://www.tiktok.com/@example_creator/video/sample0162,Answering your questions about gear #smallbusiness,356,26,3,4,0,23,2026-06-21T13:37:00,Questions / Answering / Workflow
sample0163,https://www.tiktok.com/@example_creator/video/sample0163,"New drop out now, link in bio #tutorial",853,49,9,13,0,14,2026-06-23T21:16:00,Out / Drop / Tutorial
sample0164,https://www.tiktok.com/@example_creator/video/sample0164,"framing explained properly, no jargon",2772,298,24,20,0,9,2026-06-25T08:50:00,Understood / Properly / Jargon
sample0165,https://www.tiktok.com/@example_creator/video/sample0165,What 90 months of this actually looked like #howto,1267,124,14,24,0,41,2026-06-28T17:32:00,Looked / Howto
sample0166,https://www.tiktok.com/@example_creator/video/sample0166,"You asked, so here it is: workflow",2544,228,26,27,0,14,2026-06-30T08:04:00,Asked / Gear / Clients
sample0167,https://www.tiktok.com/@example_creator/video/sample0167,"New drop out now, link in bio #tutorial",6258,798,42,111,0,41,2026-07-02T21:47:00,Out / Drop / Tutorial
sample0168,https://www.tiktok.com/@example_creator/video/sample0168,Stop doing this with your setup #smallbusiness,2874,367,28,8,0,68,2026-07-05T21:57:00,Understood / Properly / Jargon
sample0169,https://www.tiktok.com/@example_creator/video/sample0169,Day 7 of building this in public,842,61,8,4,0,41,2026-07-07T11:42:00,Public / Building / Smallbusiness
sample0170,https://www.tiktok.com/@example_creator/video/sample0170,"You asked, so here it is: pricing",2424,230,9,30,0,14,2026-07-10T11:35:00,Asked / Gear / Clients
sample0171,https://www.tiktok.com/@example_creator/video/sample0171,Grab this before it goes #creator,1568,145,3,4,0,27,2026-07-12T19:47:00,Grab / Smallbusiness / Creator
sample0172,https://www.tiktok.com/@example_creator/video/sample0172,"framing explained properly, no jargon",2612,322,13,26,0,68,2026-07-14T08:13:00,Understood / Properly / Jargon
sample0173,https://www.tiktok.com/@example_creator/video/sample0173,What 100 months of this actually looked like,3732,365,15,9,0,52,2026-07-17T08:25:00,No caption
sample0174,https://www.tiktok.com/@example_creator/video/sample0174,"You asked, so here it is: software #creator",2654,217,11,7,0,34,2026-07-19T08:19:00,Asked / Gear / Clients
